Tasks: 557 total,   1 running, 556 sleeping,   0 stopped,   0 zombie
  Mem:  3741312K total,  3585600K used,   155712K free,     6824K buffers
 Swap:  2097148K total,   395776K used,  1701372K free,  1530060K cached
800%cpu  38%user   0%nice  38%sys 717%idle   0%iow   7%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 8014 u0_a137      16  -4  17G 314M 167M S 34.4   8.6  84:09.11 com.example.metacam.debug
20224 shell        20   0  12G 4.8M 3.7M R 13.7   0.1   0:00.06 top -b -n 1
 1226 system       -2   0  13G  50M  42M S 13.7   1.3 114:43.77 surfaceflinger
16487 root         20   0    0    0    0 I  3.4   0.0   0:04.72 [kworker/2:0-events]
 1129 system       -3   0  13G  18M  16M S  3.4   0.4  53:58.76 vendor.qti.hardware.display.composer-service
  526 root         RT   0    0    0    0 S  3.4   0.0  13:54.08 [irq/45-1b8e300.]
   50 root         20   0    0    0    0 S  3.4   0.0   4:00.02 [rcuog/4]
20080 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:0H]
20076 root         20   0    0    0    0 I  0.0   0.0   0:00.03 [kworker/0:0-events]
19906 root         20   0    0    0    0 I  0.0   0.0   0:01.28 [kworker/u16:0-memlat_wq]
19777 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:1-mm_percpu_wq]
19627 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:0H]
19591 root         20   0    0    0    0 I  0.0   0.0   0:00.10 [kworker/0:1-events]
19587 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:1H]
19546 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:0H]
19375 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:0]
19318 root          0 -20    0    0    0 I  0.0   0.0   0:00.98 [kworker/u17:1-AR_RPC_RX_WORK_QUEUE]
19251 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:3]
19196 u0_a137      20   0  12G 5.5M 2.4M S  0.0   0.1   0:04.23 ar8030_helper_socket -p 50002 -d 0
19094 root         20   0    0    0    0 I  0.0   0.0   0:00.06 [kworker/0:3-events]
19049 root         20   0    0    0    0 I  0.0   0.0   0:03.67 [kworker/u16:2-kverityd]
18857 root         20   0    0    0    0 I  0.0   0.0   0:00.50 [kworker/2:2-events]
18723 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:1H]
18678 root         20   0    0    0    0 I  0.0   0.0   0:00.31 [kworker/4:1-events]
18616 root          0 -20    0    0    0 I  0.0   0.0   0:01.71 [kworker/u17:4-AR_RPC_RX_WORK_QUEUE]
18485 root         20   0    0    0    0 I  0.0   0.0   0:05.82 [kworker/u16:4-memlat_wq]
18443 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:2]
18434 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:0-mm_percpu_wq]
18295 root         20   0    0    0    0 I  0.0   0.0   0:07.58 [kworker/u16:1-memlat_wq]
17459 root         20   0    0    0    0 I  0.0   0.0   0:01.02 [kworker/6:1-events]
16661 root          0 -20    0    0    0 S  0.0   0.0   0:00.40 [irq/208-dwc3]
16631 root         20   0    0    0    0 I  0.0   0.0   0:01.45 [kworker/7:1-events]
16627 root         20   0    0    0    0 I  0.0   0.0   0:01.44 [kworker/5:2-events]
16534 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:0H]
16459 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:1H]
16405 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:2-events]
16213 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:2H]
16182 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2H]
16096 root         20   0    0    0    0 I  0.0   0.0   0:01.25 [kworker/3:1-mm_percpu_wq]
15794 root          0 -20    0    0    0 I  0.0   0.0   0:07.18 [kworker/u17:2-kgsl-events]
14334 root         20   0    0    0    0 I  0.0   0.0   0:45.67 [kworker/u16:3-kgsl-lockless-work]
14321 root         20   0    0    0    0 I  0.0   0.0   0:08.02 [kworker/3:0-sock_diag_events]
12911 root         20   0    0    0    0 I  0.0   0.0   0:02.26 [kworker/1:0-mm_percpu_wq]
 9084 root          0 -20    0    0    0 I  0.0   0.0   0:35.02 [kworker/u17:0-OAL_MAIN_WORK_QUEUE]
 6767 system       20   0  16G  93M  49M S  0.0   2.5   0:00.12 com.android.keychain
 6750 shell        20   0  12G 4.3M 3.6M S  0.0   0.1   0:00.03 abb
 6295 u0_a22       20   0  16G 106M  58M S  0.0   2.9   0:04.16 android.process.media
 6290 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [usb_bam_wq]
 6289 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/99-arm-smmu]
 4767 u0_a60       20   0  15G  87M  43M S  0.0   2.3   0:00.15 com.qualcomm.qti.qms.service.trustzoneaccess
